Time,Pair,Direction,Entry,Close,PnL
2026-06-07 02:31:30,SOL/USDT,SHORT,63.76,63.11,1.02
2026-06-07 22:16:55,BTC/USDT,SHORT,64099.7,63457.6,1.0
2026-06-10 14:01:37,ETH/USDT,SHORT,1666.12,1649.23,1.01
2026-06-12 15:35:00,SOL/USDT,SHORT,68.65,67.94,1.03
2026-06-14 23:52:18,SOL/USDT,SHORT,69.12,71.23,-3.05
2026-06-15 13:24:38,ETH/USDT,SHORT,1767.41,1821.96,-3.09
2026-06-15 14:02:26,ETH/USDT,SHORT,1826.34,1808.03,1.0
2026-06-18 19:44:01,ETH/USDT,LONG,1684.66,1701.86,1.02
2026-06-20 08:51:48,SOL/USDT,SHORT,72.03,71.3,1.01
2026-06-21 21:39:37,SOL/USDT,LONG,72.49,73.27,1.08
2026-06-22 01:33:53,SOL/USDT,SHORT,74.94,74.19,1.0
2026-06-23 07:07:34,SOL/USDT,LONG,69.76,70.46,1.0
2026-06-23 10:02:16,ETH/USDT,LONG,1639.01,1655.49,1.01
2026-06-24 18:19:40,SOL/USDT,LONG,65.29,65.95,1.01
2026-06-25 14:02:12,BTC/USDT,LONG,58324.9,58915.3,1.01
2026-06-26 02:29:15,ETH/USDT,LONG,1523.0,1538.23,1.0
2026-06-26 14:36:37,SOL/USDT,SHORT,71.68,70.94,1.03
2026-06-29 17:21:35,SOL/USDT,SHORT,76.26,75.46,1.05
2026-06-29 17:50:42,SOL/USDT,SHORT,76.07,75.29,1.03
2026-07-02 14:27:33,SOL/USDT,SHORT,81.27,80.44,1.02
2026-07-28 15:23:50,ETH/USDT,LONG,1893.57,1914.01,1.08
2026-08-19 15:27:34,ETH/USDT,SHORT,2013.63,2081.0,-3.35
2026-08-19 15:27:51,BTC/USDT,SHORT,67259.9,69499.9,-3.33
2026-08-19 15:28:05,BTC/USDT,SHORT,69815.0,69109.6,1.01
2026-08-19 15:30:27,BTC/USDT,SHORT,68718.0,68018.6,1.02
2026-08-19 15:30:40,ETH/USDT,SHORT,2085.71,2064.78,1.0
2026-08-19 17:19:13,XRP/USDT,SHORT,1.066,1.0551,1.02
2026-08-19 21:07:08,ETH/USDT,SHORT,2219.86,2289.72,-3.15
2026-08-19 21:07:13,SOL/USDT,SHORT,84.24,86.83,-3.07
2026-08-19 21:08:52,SOL/USDT,SHORT,87.01,86.07,1.08
2026-08-19 21:10:36,ETH/USDT,SHORT,2307.53,2283.48,1.04
2026-08-19 21:12:27,ETH/USDT,SHORT,2275.54,2252.48,1.01
2026-08-19 22:33:53,SOL/USDT,SHORT,85.95,85.09,1.0
2026-08-20 11:33:28,XRP/USDT,SHORT,1.142,1.1765,-3.02
2026-08-21 09:03:11,BTC/USDT,SHORT,78788.7,77978.9,1.03
2026-08-21 09:03:20,XRP/USDT,SHORT,1.3645,1.3501,1.06
2026-08-21 23:23:38,XRP/USDT,SHORT,1.4291,1.4726,-3.04
2026-08-22 03:41:42,XRP/USDT,SHORT,1.5835,1.5668,1.05
2026-08-22 05:07:38,SOL/USDT,SHORT,99.75,98.71,1.04
2026-08-22 10:26:50,XRP/USDT,LONG,1.434,1.4511,1.19
2026-08-23 00:38:46,SOL/USDT,SHORT,96.95,95.88,1.1
2026-08-23 02:12:04,SOL/USDT,SHORT,96.41,95.39,1.06
2026-08-23 14:23:29,XRP/USDT,SHORT,1.5439,1.5282,1.02
2026-08-25 00:17:24,SOL/USDT,SHORT,100.59,99.58,1.0
2026-08-25 01:52:04,SOL/USDT,SHORT,101.69,100.66,1.01
2026-08-25 21:10:41,XRP/USDT,LONG,1.4113,1.426,1.04
2026-08-27 08:09:41,SOL/USDT,SHORT,100.5,103.59,-3.07
2026-08-27 15:11:10,XRP/USDT,SHORT,1.4678,1.4524,1.05
